"","krok","proc_chorych"
"1",0,0.036
"2",1,0.158
"3",2,0.221
"4",3,0.261
"5",4,0.294
"6",5,0.307
"7",6,0.286
"8",7,0.322
"9",8,0.308
"10",9,0.31
"11",10,0.309
"12",11,0.316
"13",12,0.331
"14",13,0.307
"15",14,0.328
"16",15,0.325
"17",16,0.301
"18",17,0.289
"19",18,0.314
"20",19,0.296
"21",20,0.312
"22",21,0.3
"23",22,0.304
"24",23,0.332
"25",24,0.325
"26",25,0.337
"27",26,0.338
"28",27,0.328
"29",28,0.337
"30",29,0.319
"31",30,0.311
"32",31,0.314
"33",32,0.334
"34",33,0.318
"35",34,0.323
"36",35,0.325
"37",36,0.32
"38",37,0.296
"39",38,0.284
"40",39,0.289
"41",40,0.316
"42",41,0.334
"43",42,0.328
"44",43,0.327
"45",44,0.32
"46",45,0.324
"47",46,0.32
"48",47,0.331
"49",48,0.325
"50",49,0.304
"51",50,0.312
"52",51,0.31
"53",52,0.315
"54",53,0.322
"55",54,0.325
"56",55,0.337
"57",56,0.337
"58",57,0.343
"59",58,0.345
"60",59,0.321
"61",60,0.313
"62",61,0.331
"63",62,0.339
"64",63,0.315
"65",64,0.293
"66",65,0.287
"67",66,0.304
"68",67,0.326
"69",68,0.311
"70",69,0.3
"71",70,0.296
"72",71,0.303
"73",72,0.297
"74",73,0.297
"75",74,0.305
"76",75,0.306
"77",76,0.306
"78",77,0.317
"79",78,0.329
"80",79,0.309
"81",80,0.32
"82",81,0.314
"83",82,0.302
"84",83,0.303
"85",84,0.314
"86",85,0.318
"87",86,0.311
"88",87,0.329
"89",88,0.343
"90",89,0.328
"91",90,0.334
"92",91,0.334
"93",92,0.31
"94",93,0.31
"95",94,0.297
"96",95,0.307
"97",96,0.314
"98",97,0.313
"99",98,0.316
"100",99,0.331
"101",100,0.323
