"","krok","proc_chorych"
"1",0,0.22
"2",1,0.36
"3",2,0.55
"4",3,0.68
"5",4,0.76
"6",5,0.79
"7",6,0.87
"8",7,0.87
"9",8,0.87
"10",9,0.88
"11",10,0.92
"12",11,0.94
"13",12,0.87
"14",13,0.89
"15",14,0.86
"16",15,0.84
"17",16,0.83
"18",17,0.8
"19",18,0.81
"20",19,0.85
"21",20,0.85
"22",21,0.87
"23",22,0.89
"24",23,0.89
"25",24,0.9
"26",25,0.88
"27",26,0.93
"28",27,0.88
"29",28,0.88
"30",29,0.88
"31",30,0.93
"32",31,0.89
"33",32,0.88
"34",33,0.9
"35",34,0.89
"36",35,0.89
"37",36,0.87
"38",37,0.83
"39",38,0.82
"40",39,0.83
"41",40,0.88
"42",41,0.9
"43",42,0.84
"44",43,0.85
"45",44,0.92
"46",45,0.9
"47",46,0.84
"48",47,0.83
"49",48,0.84
"50",49,0.86
"51",50,0.9
"52",51,0.83
"53",52,0.81
"54",53,0.84
"55",54,0.85
"56",55,0.86
"57",56,0.9
"58",57,0.91
"59",58,0.84
"60",59,0.93
"61",60,0.86
"62",61,0.9
"63",62,0.85
"64",63,0.83
"65",64,0.83
"66",65,0.88
"67",66,0.88
"68",67,0.89
"69",68,0.88
"70",69,0.82
"71",70,0.87
"72",71,0.82
"73",72,0.88
"74",73,0.9
"75",74,0.79
"76",75,0.81
"77",76,0.87
"78",77,0.85
"79",78,0.83
"80",79,0.85
"81",80,0.85
"82",81,0.89
"83",82,0.84
"84",83,0.81
"85",84,0.87
"86",85,0.84
"87",86,0.87
"88",87,0.85
"89",88,0.82
"90",89,0.87
"91",90,0.86
"92",91,0.85
"93",92,0.84
"94",93,0.88
"95",94,0.87
"96",95,0.92
"97",96,0.91
"98",97,0.92
"99",98,0.88
"100",99,0.93
"101",100,0.95
