"","krok","proc_chorych"
"1",0,0.055
"2",1,0.268
"3",2,0.319
"4",3,0.309
"5",4,0.324
"6",5,0.307
"7",6,0.326
"8",7,0.335
"9",8,0.348
"10",9,0.342
"11",10,0.326
"12",11,0.318
"13",12,0.305
"14",13,0.297
"15",14,0.299
"16",15,0.332
"17",16,0.325
"18",17,0.313
"19",18,0.32
"20",19,0.314
"21",20,0.303
"22",21,0.348
"23",22,0.334
"24",23,0.313
"25",24,0.296
"26",25,0.317
"27",26,0.29
"28",27,0.33
"29",28,0.312
"30",29,0.304
"31",30,0.313
"32",31,0.317
"33",32,0.333
"34",33,0.321
"35",34,0.325
"36",35,0.328
"37",36,0.33
"38",37,0.305
"39",38,0.324
"40",39,0.328
"41",40,0.332
"42",41,0.306
"43",42,0.306
"44",43,0.321
"45",44,0.324
"46",45,0.319
"47",46,0.338
"48",47,0.32
"49",48,0.303
"50",49,0.342
"51",50,0.32
"52",51,0.327
"53",52,0.335
"54",53,0.317
"55",54,0.327
"56",55,0.31
"57",56,0.305
"58",57,0.32
"59",58,0.31
"60",59,0.318
"61",60,0.29
"62",61,0.325
"63",62,0.321
"64",63,0.312
"65",64,0.324
"66",65,0.331
"67",66,0.349
"68",67,0.328
"69",68,0.341
"70",69,0.301
"71",70,0.337
"72",71,0.311
"73",72,0.289
"74",73,0.301
"75",74,0.305
"76",75,0.321
"77",76,0.288
"78",77,0.305
"79",78,0.33
"80",79,0.316
"81",80,0.308
"82",81,0.301
"83",82,0.312
"84",83,0.328
"85",84,0.332
"86",85,0.328
"87",86,0.316
"88",87,0.309
"89",88,0.313
"90",89,0.31
"91",90,0.292
"92",91,0.307
"93",92,0.303
"94",93,0.316
"95",94,0.323
"96",95,0.306
"97",96,0.301
"98",97,0.319
"99",98,0.315
"100",99,0.304
"101",100,0.331
