"","krok","proc_chorych"
"1",0,0.08
"2",1,0.14
"3",2,0.3
"4",3,0.48
"5",4,0.55
"6",5,0.65
"7",6,0.68
"8",7,0.7
"9",8,0.73
"10",9,0.76
"11",10,0.83
"12",11,0.87
"13",12,0.89
"14",13,0.87
"15",14,0.85
"16",15,0.74
"17",16,0.79
"18",17,0.77
"19",18,0.81
"20",19,0.84
"21",20,0.86
"22",21,0.87
"23",22,0.87
"24",23,0.84
"25",24,0.83
"26",25,0.89
"27",26,0.83
"28",27,0.88
"29",28,0.84
"30",29,0.9
"31",30,0.91
"32",31,0.88
"33",32,0.81
"34",33,0.86
"35",34,0.79
"36",35,0.87
"37",36,0.83
"38",37,0.88
"39",38,0.84
"40",39,0.89
"41",40,0.89
"42",41,0.88
"43",42,0.94
"44",43,0.89
"45",44,0.88
"46",45,0.89
"47",46,0.84
"48",47,0.86
"49",48,0.86
"50",49,0.81
"51",50,0.91
"52",51,0.88
"53",52,0.9
"54",53,0.85
"55",54,0.84
"56",55,0.87
"57",56,0.92
"58",57,0.82
"59",58,0.81
"60",59,0.77
"61",60,0.88
"62",61,0.9
"63",62,0.87
"64",63,0.89
"65",64,0.87
"66",65,0.86
"67",66,0.87
"68",67,0.89
"69",68,0.96
"70",69,0.94
"71",70,0.86
"72",71,0.84
"73",72,0.86
"74",73,0.86
"75",74,0.89
"76",75,0.86
"77",76,0.85
"78",77,0.9
"79",78,0.91
"80",79,0.9
"81",80,0.86
"82",81,0.85
"83",82,0.76
"84",83,0.8
"85",84,0.84
"86",85,0.84
"87",86,0.89
"88",87,0.88
"89",88,0.87
"90",89,0.9
"91",90,0.84
"92",91,0.82
"93",92,0.81
"94",93,0.82
"95",94,0.82
"96",95,0.81
"97",96,0.84
"98",97,0.87
"99",98,0.87
"100",99,0.85
"101",100,0.89
